brand_id,brand
AM,Aston Martin
AU,Audi
BY,Bentley
BW,BMW
CD,Cadillac
CV,Chevrolet
CR,Chrysler
CT,Citroen
DH,Daihatsu
DT,Datsun
DF,DFSK
DD,Dodge
FR,Ferrari
FI,Fiat
FD,Ford
GE,Geely
HI,Hino
HO,Honda
HU,Hummer
HY,Hyundai
IF,Infiniti
IZ,Isuzu
JG,Jaguar
JP,Jeep
KI,KIA
LB,Lamborghini
LR,Land Rover
LX,Lexus
MS,Maserati
MX,MAXUS
MZ,Mazda
MC,McLaren
MB,Mercedes-Benz
MG,MG
MI,MINI
MT,Mitsubishi
MO,Morgan
NI,Nissan
OP,Opel
PG,Peugeot
PC,Porsche
PT,Proton
RN,Renault
RR,Rolls-Royce
SM,smart
SB,Subaru
SZ,Suzuki
TA,Tata
TS,Tesla
TI,Timor
TY,Toyota
UT,UD TRUCKS
VW,Volkswagen
VV,Volvo
WL,Wuling
